                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.88379,                 1.1958,                0.54073,                 1.0274,                0.92942,                 0.9112,                0.95121,                0.73149,                0.93778,                0.92085,                0.96183,                0.61352,                0.85921,                 1.0529,                0.50155,                 1.0361,              0.0003535,              0.0003535,              0.0003535
                     53,                0.86055,                 1.1922,                0.53537,                 1.0213,                0.93845,                0.91699,                0.95627,                0.72884,                0.94466,                0.92275,                0.96415,                0.61016,                0.88421,                 1.0623,                0.49371,                 1.0539,             0.00034643,             0.00034643,             0.00034643
                     54,                0.85683,                 1.1931,                 0.5288,                 1.0104,                0.93971,                0.90154,                0.95419,                0.73341,                0.95326,                0.91313,                0.96577,                 0.6179,                0.87953,                 1.0585,                0.48365,                  1.056,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.8541,                 1.1693,                  0.527,                 1.0113,                0.95734,                0.91699,                 0.9604,                0.72455,                0.96359,                 0.9196,                 0.9658,                0.60776,                0.89009,                 1.0707,                  0.484,                 1.0667,              0.0003323,              0.0003323,              0.0003323
                     56,                0.85799,                 1.1717,                0.52123,                 1.0188,                0.93727,                  0.923,                0.95136,                0.73215,                0.94764,                0.93243,                 0.9616,                0.61729,                0.88721,                 1.0805,                0.48969,                 1.0532,             0.00032523,             0.00032523,             0.00032523
                     57,                0.84549,                 1.1721,                0.52505,                 1.0142,                 0.9147,                0.91699,                0.94189,                0.72114,                0.92076,                0.92278,                 0.9527,                0.59665,                0.86885,                 1.0718,                0.51653,                 1.0511,             0.00031816,             0.00031816,             0.00031816
                     58,                0.85104,                 1.1907,                0.51935,                 1.0102,                0.93237,                0.93155,                 0.9587,                0.73267,                0.93044,                0.92962,                 0.9557,                0.60781,                0.87695,                 1.0808,                0.48227,                 1.0523,             0.00031109,             0.00031109,             0.00031109
                     59,                0.84282,                 1.1566,                0.51342,                 1.0145,                 0.9304,                0.90329,                0.94339,                0.71663,                0.94747,                0.90533,                0.95344,                0.59822,                 0.8793,                 1.0845,                0.49115,                 1.0772,             0.00030402,             0.00030402,             0.00030402
                     60,                0.86059,                 1.1701,                0.51554,                 1.0243,                0.94205,                0.89961,                0.95011,                0.73839,                0.94174,                0.90734,                0.95595,                0.61498,                0.86552,                 1.0904,                0.49092,                 1.0456,             0.00029695,             0.00029695,             0.00029695
                     61,                0.84062,                  1.167,                0.50088,                 1.0044,                0.92676,                0.92831,                0.95632,                0.73409,                0.93444,                 0.9355,                0.96753,                 0.6109,                0.88923,                 1.0788,                0.49136,                 1.0638,             0.00028988,             0.00028988,             0.00028988
                     62,                0.83423,                 1.1469,                0.49542,                 1.0055,                0.93439,                0.90154,                0.94691,                0.72657,                 0.9464,                0.91313,                0.96353,                0.60904,                0.89354,                 1.0645,                0.51144,                 1.0683,             0.00028282,             0.00028282,             0.00028282
                     63,                0.83744,                 1.1455,                0.52119,                 1.0077,                 0.9344,                0.90748,                 0.9474,                0.73075,                0.94599,                  0.913,                0.96115,                0.61254,                0.88912,                 1.0727,                0.48221,                 1.0603,             0.00027575,             0.00027575,             0.00027575
                     64,                0.83642,                 1.1332,                0.48801,                 1.0124,                0.93427,                0.90546,                0.94966,                0.73694,                0.94622,                0.91705,                0.96334,                0.61741,                0.87812,                 1.0663,                0.48194,                 1.0568,             0.00026868,             0.00026868,             0.00026868
                     65,                0.83855,                 1.1575,                0.49316,                 1.0072,                 0.9282,                0.91313,                0.94728,                0.73704,                0.94151,                0.92471,                0.96486,                0.62016,                0.87241,                 1.0629,                0.47663,                 1.0455,             0.00026161,             0.00026161,             0.00026161
                     66,                0.84344,                 1.1626,                0.51098,                 1.0082,                0.94193,                0.89768,                0.95359,                0.74246,                0.92886,                0.92471,                 0.9583,                0.62242,                0.86144,                 1.0464,                 0.4681,                 1.0465,             0.00025454,             0.00025454,             0.00025454
                     67,                0.84469,                 1.1549,                0.49559,                   1.01,                0.93033,                 0.9281,                0.95298,                0.73746,                0.93997,                0.93709,                0.96702,                0.62375,                0.86968,                 1.0469,                0.46517,                 1.0493,             0.00024747,             0.00024747,             0.00024747
                     68,                0.80481,                 1.1165,                0.47923,                0.98986,                 0.9516,                0.91102,                0.95405,                0.74336,                0.95967,                0.91874,                0.96604,                0.62338,                0.85744,                 1.0499,                0.45925,                 1.0473,              0.0002404,              0.0002404,              0.0002404
                     69,                0.83456,                 1.1503,                0.49415,                 1.0076,                0.92224,                0.91699,                0.94805,                0.73089,                0.93195,                0.92664,                0.96242,                0.61807,                0.89346,                 1.0391,                0.48463,                 1.0663,             0.00023334,             0.00023334,             0.00023334
                     70,                0.81427,                 1.1416,                0.47909,                0.99294,                0.93169,                0.92158,                0.95273,                0.73743,                0.94343,                 0.9337,                0.96753,                0.62097,                0.87607,                 1.0484,                0.47109,                 1.0546,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.8118,                 1.1457,                0.47608,                0.99423,                0.93084,                0.91313,                0.95187,                 0.7414,                0.93757,                 0.9112,                 0.9604,                0.61991,                0.86431,                 1.0498,                0.47559,                 1.0516,              0.0002192,              0.0002192,              0.0002192
                     72,                0.81816,                 1.1507,                0.47799,                0.99436,                  0.937,                0.91873,                 0.9589,                0.75029,                0.92264,                0.94397,                 0.9674,                0.62811,                0.85164,                 1.0368,                0.46385,                 1.0361,             0.00021213,             0.00021213,             0.00021213
                     73,                0.83643,                 1.1542,                0.47986,                0.99959,                0.94273,                0.92158,                0.95581,                0.74395,                0.95004,                0.92664,                0.96739,                0.63483,                0.85331,                 1.0445,                0.46634,                 1.0296,             0.00020506,             0.00020506,             0.00020506
                     74,                0.79805,                 1.1198,                 0.4661,                0.98835,                0.94637,                 0.9197,                0.95319,                0.73785,                0.95431,                0.92742,                0.96469,                0.63172,                0.86924,                 1.0422,                0.46706,                 1.0563,             0.00019799,             0.00019799,             0.00019799
                     75,                0.80711,                 1.1131,                0.46522,                 0.9916,                0.94165,                0.92471,                 0.9573,                0.74345,                0.94762,                 0.9305,                0.96668,                0.62384,                 0.8578,                 1.0519,                0.45861,                 1.0454,             0.00019092,             0.00019092,             0.00019092
                     76,                0.81118,                 1.1631,                0.47086,                0.99575,                0.94225,                0.92471,                0.95392,                0.74162,                 0.9488,                 0.9305,                0.96244,                0.62283,                0.87208,                 1.0495,                0.47208,                 1.0479,             0.00018385,             0.00018385,             0.00018385
                     77,                0.78805,                 1.1076,                0.46853,                0.98613,                0.94281,                0.91506,                0.95435,                0.74445,                0.94766,                0.92085,                0.96501,                0.62859,                0.86512,                 1.0409,                0.46829,                 1.0485,             0.00017679,             0.00017679,             0.00017679
                     78,                0.79704,                  1.129,                0.47085,                0.98616,                0.94311,                0.92857,                0.95883,                0.75086,                0.95095,                0.93629,                0.96841,                0.62861,                0.86183,                 1.0499,                0.45287,                 1.0518,             0.00016972,             0.00016972,             0.00016972
                     79,                0.78934,                 1.1163,                0.45547,                 0.9865,                0.94187,                0.93436,                0.96273,                0.75026,                0.96174,                0.92471,                0.96923,                0.63143,                0.86718,                 1.0546,                0.45144,                 1.0515,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.7899,                 1.1256,                0.45867,                0.98609,                 0.9504,                0.92479,                0.96587,                0.74798,                 0.9504,                0.92479,                0.96597,                0.63179,                0.85403,                  1.044,                0.44807,                 1.0399,             0.00015558,             0.00015558,             0.00015558
                     81,                0.79235,                 1.1226,                0.46171,                0.98697,                0.94006,                0.93862,                0.95812,                0.73932,                0.95408,                0.93629,                0.96625,                0.62438,                0.86111,                  1.062,                0.45386,                 1.0509,             0.00014851,             0.00014851,             0.00014851
                     82,                0.78035,                 1.1148,                 0.4572,                0.98237,                0.95114,                0.92085,                0.96216,                  0.753,                0.95912,                0.92857,                0.96961,                0.63382,                0.85951,                 1.0536,                0.45098,                 1.0423,             0.00014144,             0.00014144,             0.00014144
                     83,                0.78201,                 1.0927,                0.45283,                0.98349,                0.95308,                0.92085,                 0.9559,                0.74381,                0.96108,                0.92857,                0.96508,                0.62866,                0.85785,                 1.0533,                0.45976,                 1.0457,             0.00013437,             0.00013437,             0.00013437
                     84,                0.78335,                 1.1265,                0.45415,                0.98138,                0.94692,                0.92985,                0.95998,                 0.7493,                0.95453,                0.93436,                 0.9653,                0.63251,                 0.8459,                 1.0424,                0.44706,                 1.0399,             0.00012731,             0.00012731,             0.00012731
                     85,                0.76238,                 1.0863,                0.43923,                0.97474,                0.94268,                0.92664,                0.95196,                0.74561,                0.95069,                0.93436,                0.95868,                0.62767,                0.85152,                 1.0511,                0.45865,                 1.0376,             0.00012024,             0.00012024,             0.00012024
                     86,                0.77782,                 1.0917,                0.43975,                0.98183,                0.94553,                0.92664,                0.95547,                0.74602,                0.95418,                0.93436,                0.96475,                0.62875,                0.86524,                 1.0628,                0.46612,                 1.0468,             0.00011317,             0.00011317,             0.00011317
                     87,                0.77299,                 1.1035,                0.44154,                0.97797,                 0.9554,                 0.9112,                   0.96,                0.75133,                0.96216,                0.91699,                0.96469,                0.63068,                0.86247,                 1.0483,                0.46058,                 1.0427,              0.0001061,              0.0001061,              0.0001061
                     88,                0.76618,                 1.0978,                0.43815,                 0.9752,                0.93663,                 0.9416,                0.95552,                 0.7507,                0.94219,                0.94981,                0.96763,                0.62817,                0.86008,                 1.0616,                 0.4526,                 1.0377,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.75992,                 1.0921,                0.43005,                0.97547,                0.94679,                0.92749,                0.95422,                0.74016,                0.95467,                0.93521,                0.96344,                0.62323,                0.85002,                 1.0436,                0.45201,                 1.0422,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.76842,                 1.1089,                0.43736,                0.96701,                0.95038,                0.92444,                0.95908,                 0.7519,                0.95634,                0.93023,                0.96463,                0.63143,                0.85698,                 1.0524,                0.45893,                 1.0482,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.66961,                0.91744,                0.36199,                0.96631,                0.94575,                 0.9112,                0.95109,                0.73995,                0.94877,                0.92953,                0.96334,                0.62847,                0.87127,                 1.0648,                0.45356,                  1.066,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                  0.648,                0.89787,                0.35117,                0.95757,                0.94227,                0.93243,                0.95854,                0.74176,                0.94725,                0.93629,                0.96652,                0.63309,                0.87557,                 1.0563,                0.45295,                 1.0688,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.65725,                 0.8845,                 0.3477,                0.96139,                0.93313,                0.93629,                0.95621,                0.74884,                0.93971,                0.94208,                0.96553,                   0.63,                0.85614,                 1.0654,                0.46197,                 1.0507,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.64824,                0.89758,                 0.3449,                0.95581,                0.94077,                0.92857,                0.95301,                0.74898,                 0.9496,                0.93629,                0.95952,                0.63202,                0.86321,                  1.071,                0.45907,                  1.054,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.64678,                 0.8778,                0.34083,                 0.9553,                0.93829,                0.92471,                0.95254,                0.74855,                0.95058,                0.93629,                 0.9651,                0.62826,                0.86778,                 1.0774,                0.45149,                 1.0602,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.64317,                0.87321,                0.33434,                0.95189,                 0.9364,                0.92664,                0.95802,                0.75481,                0.94386,                0.93243,                0.95812,                 0.6295,                 0.8563,                 1.0679,                0.45011,                 1.0436,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.63222,                0.88606,                0.32922,                0.94237,                0.94342,                0.92085,                0.95626,                0.75544,                0.94935,                0.92664,                0.95917,                0.63114,                0.85347,                 1.0741,                0.45257,                 1.0449,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.63027,                0.87285,                0.33503,                0.95068,                0.92744,                0.93763,                0.95691,                0.75646,                0.95538,                 0.9305,                0.96399,                0.63179,                0.85675,                 1.0726,                0.44504,                   1.05,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.62824,                 0.8697,                0.33494,                0.94001,                0.93796,                 0.9305,                0.95702,                0.75357,                0.94885,                0.93117,                 0.9626,                0.63222,                0.86339,                 1.0725,                0.45228,                 1.0542,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.63699,                0.89626,                0.33502,                0.94479,                0.93951,                0.92857,                0.95513,                0.75294,                0.94858,                0.93629,                0.96471,                0.63239,                0.85974,                 1.0734,                0.45032,                  1.055,             1.4209e-05,             1.4209e-05,             1.4209e-05
