epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2878.48,0.78335,1.12653,0.45415,0.98138,0.94692,0.92985,0.95998,0.7493,0.95453,0.93436,0.9653,0.63251,0.8459,1.0424,0.44706,1.03986,0.000127306,0.000127306,0.000127306
85,2896.09,0.76238,1.08627,0.43923,0.97474,0.94268,0.92664,0.95196,0.74561,0.95069,0.93436,0.95868,0.62767,0.85152,1.05109,0.45865,1.03761,0.000120238,0.000120238,0.000120238
86,2913.99,0.77782,1.09171,0.43975,0.98183,0.94553,0.92664,0.95547,0.74602,0.95418,0.93436,0.96475,0.62875,0.86524,1.06281,0.46612,1.04677,0.000113169,0.000113169,0.000113169
87,2931.86,0.77299,1.10352,0.44154,0.97797,0.9554,0.9112,0.96,0.75133,0.96216,0.91699,0.96469,0.63068,0.86247,1.0483,0.46058,1.0427,0.0001061,0.0001061,0.0001061
88,2949.68,0.76618,1.09783,0.43815,0.9752,0.93663,0.9416,0.95552,0.7507,0.94219,0.94981,0.96763,0.62817,0.86008,1.06163,0.4526,1.03771,9.90318e-05,9.90318e-05,9.90318e-05
89,2967.49,0.75992,1.09213,0.43005,0.97547,0.94679,0.92749,0.95422,0.74016,0.95467,0.93521,0.96344,0.62323,0.85002,1.04358,0.45201,1.04223,9.19632e-05,9.19632e-05,9.19632e-05
90,2985.33,0.76842,1.10886,0.43736,0.96701,0.95038,0.92444,0.95908,0.7519,0.95634,0.93023,0.96463,0.63143,0.85698,1.05242,0.45893,1.04824,8.48946e-05,8.48946e-05,8.48946e-05
91,3003.52,0.66961,0.91744,0.36199,0.96631,0.94575,0.9112,0.95109,0.73995,0.94877,0.92953,0.96334,0.62847,0.87127,1.06481,0.45356,1.06603,7.7826e-05,7.7826e-05,7.7826e-05
92,3021.07,0.648,0.89787,0.35117,0.95757,0.94227,0.93243,0.95854,0.74176,0.94725,0.93629,0.96652,0.63309,0.87557,1.05635,0.45295,1.06884,7.07574e-05,7.07574e-05,7.07574e-05
93,3038.47,0.65725,0.8845,0.3477,0.96139,0.93313,0.93629,0.95621,0.74884,0.93971,0.94208,0.96553,0.63,0.85614,1.06542,0.46197,1.05069,6.36888e-05,6.36888e-05,6.36888e-05
94,3055.9,0.64824,0.89758,0.3449,0.95581,0.94077,0.92857,0.95301,0.74898,0.9496,0.93629,0.95952,0.63202,0.86321,1.07098,0.45907,1.05397,5.66202e-05,5.66202e-05,5.66202e-05
95,3073.35,0.64678,0.8778,0.34083,0.9553,0.93829,0.92471,0.95254,0.74855,0.95058,0.93629,0.9651,0.62826,0.86778,1.07738,0.45149,1.06017,4.95516e-05,4.95516e-05,4.95516e-05
96,3090.99,0.64317,0.87321,0.33434,0.95189,0.9364,0.92664,0.95802,0.75481,0.94386,0.93243,0.95812,0.6295,0.8563,1.0679,0.45011,1.04363,4.2483e-05,4.2483e-05,4.2483e-05
97,3108.59,0.63222,0.88606,0.32922,0.94237,0.94342,0.92085,0.95626,0.75544,0.94935,0.92664,0.95917,0.63114,0.85347,1.07411,0.45257,1.04494,3.54144e-05,3.54144e-05,3.54144e-05
98,3126.09,0.63027,0.87285,0.33503,0.95068,0.92744,0.93763,0.95691,0.75646,0.95538,0.9305,0.96399,0.63179,0.85675,1.07257,0.44504,1.05003,2.83458e-05,2.83458e-05,2.83458e-05
99,3143.69,0.62824,0.8697,0.33494,0.94001,0.93796,0.9305,0.95702,0.75357,0.94885,0.93117,0.9626,0.63222,0.86339,1.0725,0.45228,1.05418,2.12772e-05,2.12772e-05,2.12772e-05
100,3161.25,0.63699,0.89626,0.33502,0.94479,0.93951,0.92857,0.95513,0.75294,0.94858,0.93629,0.96471,0.63239,0.85974,1.07339,0.45032,1.05503,1.42086e-05,1.42086e-05,1.42086e-05
