                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.80301,                 1.6877,                0.67423,                 1.1432,                0.83259,                0.75633,                0.81821,                0.58417,                0.81262,                0.73258,                0.77888,                0.48827,                 1.0267,                 2.3446,                0.95139,                 1.4333,             0.00031109,             0.00031109,             0.00031109
                     59,                0.80771,                 1.6753,                0.66329,                 1.1469,                0.83392,                0.77722,                0.83256,                0.60559,                0.80495,                0.75198,                0.78676,                0.50762,                0.95083,                 2.2862,                0.86532,                 1.3516,             0.00030402,             0.00030402,             0.00030402
                     60,                0.78247,                 1.6751,                0.63609,                 1.1281,                0.84681,                0.76105,                0.79991,                0.58012,                0.82666,                 0.7422,                0.75923,                0.47902,                0.96056,                  2.387,                0.91054,                  1.413,             0.00029695,             0.00029695,             0.00029695
                     61,                0.78671,                 1.6351,                0.64354,                 1.1328,                 0.8177,                0.75523,                0.80205,                0.57856,                0.79026,                0.72999,                0.73799,                0.47713,                0.97398,                 2.4767,                0.94218,                 1.4092,             0.00028988,             0.00028988,             0.00028988
                     62,                 0.7803,                 1.6529,                0.64197,                 1.1336,                0.80521,                0.77027,                0.81008,                0.58492,                0.81474,                0.72908,                0.77381,                0.47998,                0.96186,                 2.1618,                0.97238,                 1.3547,             0.00028282,             0.00028282,             0.00028282
                     63,                0.78616,                 1.6399,                0.62665,                  1.121,                0.85284,                0.74768,                 0.8082,                0.58863,                0.81761,                0.71596,                0.75536,                0.48827,                0.99093,                 2.2821,                0.94948,                 1.3978,             0.00027575,             0.00027575,             0.00027575
                     64,                0.77175,                 1.6238,                 0.6273,                 1.1327,                0.82478,                 0.7705,                0.81581,                0.59491,                0.81302,                0.73261,                0.76265,                0.49965,                0.96227,                 2.4095,                0.94276,                 1.3801,             0.00026868,             0.00026868,             0.00026868
                     65,                0.76528,                 1.5729,                 0.6091,                 1.1153,                0.83769,                0.76704,                0.82374,                0.60199,                0.79899,                 0.7501,                0.77464,                0.50686,                0.97053,                 2.3556,                 0.8882,                 1.3585,             0.00026161,             0.00026161,             0.00026161
                     66,                0.75837,                 1.5712,                0.61208,                 1.1232,                0.85669,                0.74148,                0.82751,                0.59773,                0.83934,                0.71338,                0.78311,                0.50287,                0.98003,                 2.3373,                0.90035,                 1.3758,             0.00025454,             0.00025454,             0.00025454
                     67,                 0.7662,                 1.5933,                0.61112,                 1.1162,                0.81656,                0.75455,                0.81439,                0.59406,                0.78231,                0.72311,                0.75966,                0.49099,                0.96979,                 2.4231,                0.96844,                 1.3848,             0.00024747,             0.00024747,             0.00024747
                     68,                0.75685,                 1.5587,                0.60691,                 1.1194,                0.86899,                0.77859,                0.83945,                0.61693,                0.85293,                0.75832,                0.80766,                0.51526,                0.97212,                 2.3868,                0.83617,                 1.3874,              0.0002404,              0.0002404,              0.0002404
                     69,                0.75901,                 1.5668,                0.60415,                 1.1134,                0.84535,                0.77936,                0.82636,                0.61017,                0.82494,                 0.7617,                0.78408,                0.50442,                0.97039,                 2.3726,                0.87561,                 1.3736,             0.00023334,             0.00023334,             0.00023334
                     70,                0.77052,                 1.5909,                0.60788,                 1.1131,                0.85537,                0.75775,                0.82526,                0.60158,                0.82848,                0.72868,                0.77608,                0.48508,                0.96448,                 2.3232,                0.92935,                 1.3784,             0.00022627,             0.00022627,             0.00022627
                     71,                0.74425,                 1.5612,                0.58548,                 1.0978,                0.88182,                0.75677,                0.83125,                0.61617,                0.85911,                0.73998,                0.79796,                 0.5164,                 0.9414,                 2.2231,                0.85223,                 1.3588,              0.0002192,              0.0002192,              0.0002192
                     72,                0.73526,                 1.5264,                0.57077,                 1.0928,                0.87107,                0.76547,                 0.8248,                 0.6024,                0.84315,                0.74545,                 0.7719,                0.49752,                0.95366,                 2.2897,                0.94395,                 1.3473,             0.00021213,             0.00021213,             0.00021213
                     73,                0.74438,                 1.5488,                0.57052,                 1.0998,                0.86231,                0.79312,                0.84566,                 0.6239,                0.83789,                0.77088,                0.80015,                0.52135,                0.94285,                 2.3282,                0.83873,                 1.3355,             0.00020506,             0.00020506,             0.00020506
                     74,                0.73795,                  1.532,                0.57468,                  1.092,                 0.8577,                0.77736,                  0.838,                0.61272,                0.82342,                0.75109,                0.78223,                0.50718,                0.98671,                 2.3747,                0.92574,                 1.3736,             0.00019799,             0.00019799,             0.00019799
                     75,                0.73816,                 1.5429,                0.57428,                 1.1022,                0.85453,                0.79556,                0.84215,                0.61423,                0.82714,                0.77241,                0.79718,                0.51212,                0.98056,                 2.3852,                 0.8708,                 1.3888,             0.00019092,             0.00019092,             0.00019092
                     76,                0.73762,                 1.5045,                0.57063,                 1.1029,                0.87825,                0.77133,                0.83387,                0.62465,                0.85729,                0.75401,                0.80571,                0.52729,                0.94223,                 2.3377,                0.89002,                 1.3564,             0.00018385,             0.00018385,             0.00018385
                     77,                0.73783,                 1.5301,                0.57269,                 1.0992,                0.87396,                0.76969,                0.83374,                0.61803,                0.85015,                0.75181,                0.79948,                0.51729,                0.96139,                 2.3986,                0.93089,                  1.371,             0.00017679,             0.00017679,             0.00017679
                     78,                 0.7354,                 1.5264,                0.56921,                 1.1008,                0.84718,                0.77345,                 0.8333,                0.61228,                 0.8215,                 0.7566,                0.78781,                0.50819,                0.95146,                 2.3043,                0.95106,                 1.3424,             0.00016972,             0.00016972,             0.00016972
                     79,                0.71281,                 1.4991,                0.54996,                 1.0851,                0.84766,                0.77704,                0.83544,                0.62524,                0.85032,                0.74937,                0.80523,                0.52576,                0.94617,                 2.2722,                0.86186,                 1.3523,             0.00016265,             0.00016265,             0.00016265
                     80,                0.73079,                 1.5086,                0.55723,                 1.0907,                0.88244,                0.73972,                 0.8314,                 0.6134,                0.84311,                0.73476,                0.79063,                0.50974,                0.95839,                 2.4238,                 0.9224,                 1.3923,             0.00015558,             0.00015558,             0.00015558
                     81,                0.70433,                 1.4818,                0.53758,                 1.0807,                0.86625,                0.77166,                0.84938,                 0.6423,                 0.8362,                0.76812,                0.81316,                0.53028,                0.92124,                 2.3333,                0.88783,                 1.3093,             0.00014851,             0.00014851,             0.00014851
                     82,                0.72035,                 1.5024,                0.56052,                 1.0868,                0.88143,                0.79167,                0.85631,                0.63934,                0.86779,                0.77243,                0.82274,                0.53548,                0.90472,                 2.2425,                0.81095,                 1.3131,             0.00014144,             0.00014144,             0.00014144
                     83,                0.72562,                 1.5202,                0.54969,                 1.0941,                0.87116,                0.78538,                0.84897,                0.63957,                0.86505,                   0.76,                0.81154,                0.53316,                0.90639,                 2.3079,                0.85603,                 1.3126,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.7258,                 1.4844,                0.54687,                  1.081,                 0.8997,                0.78728,                0.85722,                0.64813,                0.88071,                0.76936,                0.81951,                0.53355,                0.89553,                 2.3135,                0.82001,                 1.3066,             0.00012731,             0.00012731,             0.00012731
